id,department,gender,city,RA,SA,DA
1,PD,m,Almaty,15,33,15
2;PD;f;Almaty;16;31;7
3;PD;f;Almaty;18;35;6
4;PD;f;Almaty;19;34;12
5;PD;f;Almaty;20;38;0
6;PD;f;Almaty;2;1;5
7;PD;m;Almaty;25;33;15
8;PD;m;Almaty;15;40;13
9;PD;m;Almaty;14;43;2
10;PD;m;Almaty;14;n/a;n/a
11;PD;m;Almaty;21;38;3
12;PD;m;Almaty;19;31;19
13;PD;f;Almaty;20;25;19
14;PD;f;Almaty;16;31;1
15;PD;f;Almaty;15;31;4
16;PD;m;Almaty;18;40;27
17;PD;f;Almaty;16;42;16
18;PD;m;Almaty;n/a;n/a;n/a
19;PD;m;Almaty;24;40;22
20;PD;f;Almaty;16;43;30
21;PD;m;Almaty;n/a;n/a;n/a
22;PD;m;Almaty;n/a;n/a;n/a
23;PD;m;Almaty;n/a;n/a;n/a
24;PD;m;Shymkent ;15;n/a;n/a
25;PD;m;Almaty;n/a;n/a;n/a
26;PD;m;Almaty;n/a;n/a;n/a
27;PD;m;Almaty;n/a;n/a;n/a
28;PD;m;Almaty;n/a;n/a;n/a
29;PD;m;Almaty;n/a;n/a;n/a
30;PD;m;Almaty;n/a;n/a;n/a
31;PD;m;Almaty;23;47;19
32;PD;m;Almaty;17;n/a;n/a
33;PD;m;Almaty;14;n/a;n/a
34;PD;m;Almaty;n/a;n/a;n/a
35;PD;m;Almaty;19;42;24
36;PD;m;Almaty;n/a;n/a;n/a
37;PD;m;Almaty;n/a;n/a;n/a
38;PD;m;Almaty;n/a;n/a;n/a
39;PD;m;Almaty;19;47;33
40;PD;m;Almaty;n/a;n/a;n/a
41;PD;m;Almaty;n/a;n/a;n/a
42;PD;m;Almaty;n/a;n/a;n/a
43;PD;m;Almaty;n/a;n/a;n/a
44;PD;f;Almaty;18;n/a;n/a
45;SOBR;m;Balkhash;20;40;5
46;SOBR;m;Almaty;20;41;10
47;SOBR;m;Almaty;15;n/a;n/a
48;SOBR;m;Almaty;13;18;0
49;SOBR;m;Almaty;n/a;n/a;n/a
50;SOBR;m;Almaty;n/a;n/a;n/a
51;SOBR;m;Almaty;n/a;n/a;n/a
52;SOBR;m;Almaty;22;40;n/a
53;SOBR;m;Almaty;13;n/a;n/a
54;SOBR;m;Almaty;n/a;n/a;n/a
55;SOBR;m;Almaty;24;n/a;28
56;SOBR;m;Almaty;n/a;n/a;n/a
57;SOBR;m;Almaty;n/a;n/a;n/a
57;SOBR;m;Almaty;n/a;n/a;n/a
59;SOBR;m;Zhambyl;23;27;12
60;SOBR;m;Almaty;20;53;21
61;SOBR;m;Almaty;17;43;30
62;SOBR;m;Almaty;n/a;n/a;n/a
63;SOBR;m;Almaty;18;40;15
64;SOBR;m;Almaty;14;n/a;n/a
65;SOBR;m;Almaty;20;42;36
66;SOBR;m;Almaty;19;32;n/a
67;SN;m;Almaty;19;45;18
68;SN;m;Almaty;n/a;n/a;n/a
69;SN;m;Almaty;n/a;28;n/a
70;SN;m;Almaty;21;28;13
71;SN;m;Almaty;16;37;n/a
72;SN;m;Almaty;22;n/a;n/a
73;SN;m;Almaty;21;37;0
74;SN;m;Almaty;21;37;0
75;SN;m;Almaty;21;28;18
76;SN;m;Almaty;n/a;n/a;n/a
77;SN;m;Almaty;20;33;0
78;SN;m;Almaty;16;33;0
79;SN;m;Almaty;17;35;9
80;SN;m;Almaty;20;34;8
81;SN;m;Taraz;18;49;6
82;SN;m;Almaty;20;39;15
83;SN;m;Almaty;18;40;16
84;SN;m;Almaty;n/a;n/a;n/a
